Country,URL,Continent,Income level,Article length (characters),"Most common sentiment, BERT","Sentiment with highest weighted vote, BERT","Sentiment with highest weighted probability, BERT","Weighted probability of negative sentiment, BERT","Weighted probability of neutral sentiment, BERT","Weighted probability of positive sentiment, BERT","Number of paragraphs with negative sentiment, BERT","Number of paragraphs with neutral sentiment, BERT","Number of paragraphs with positive sentiment, BERT","Percent of paragraphs with negative sentiment, BERT","Percent of paragraphs with neutral sentiment, BERT","Percent of paragraphs with positive sentiment, BERT","Most common sentiment, RoBERTa","Sentiment with highest weighted vote, RoBERTa","Sentiment with highest weighted probability, RoBERTa","Weighted probability of negative sentiment, RoBERTa","Weighted probability of neutral sentiment, RoBERTa","Weighted probability of positive sentiment, RoBERTa","Number of paragraphs with negative sentiment, RoBERTa","Number of paragraphs with neutral sentiment, RoBERTa","Number of paragraphs with positive sentiment, RoBERTa","Percent of paragraphs with negative sentiment, RoBERTa","Percent of paragraphs with neutral sentiment, RoBERTa","Percent of paragraphs with positive sentiment, RoBERTa","Most common sentiment, RoBERTuito","Sentiment with highest weighted vote, RoBERTuito","Sentiment with highest weighted probability, RoBERTuito","Weighted probability of negative sentiment, RoBERTuito","Weighted probability of neutral sentiment, RoBERTuito","Weighted probability of positive sentiment, RoBERTuito","Number of paragraphs with negative sentiment, RoBERTuito","Number of paragraphs with neutral sentiment, RoBERTuito","Number of paragraphs with positive sentiment, RoBERTuito","Percent of paragraphs with negative sentiment, RoBERTuito","Percent of paragraphs with neutral sentiment, RoBERTuito","Percent of paragraphs with positive sentiment, RoBERTuito"
Grenada,https://en.wikipedia.org/wiki/Grenada,North America,Upper middle,37071,Neutral,Neutral,Neutral,0.299739048,0.545459895,0.154801049,16,70,8,17.0212766,74.46808511,8.510638298,Neutral,Neutral,Neutral,0.121772885,0.76601613,0.11221099,7,79,8,7.446808511,84.04255319,8.510638298,Neutral,Neutral,Neutral,0.080966942,0.773163675,0.145869393,5,77,12,5.319148936,81.91489362,12.76595745
Guatemala,https://en.wikipedia.org/wiki/Guatemala,North America,Upper middle,82635,Neutral,Neutral,Neutral,0.391511731,0.439008212,0.169480055,61,102,13,34.65909091,57.95454545,7.386363636,Neutral,Neutral,Neutral,0.213093155,0.647749522,0.139157321,34,125,17,19.31818182,71.02272727,9.659090909,Neutral,Neutral,Neutral,0.224106923,0.601388086,0.174504993,33,115,28,18.75,65.34090909,15.90909091
Guinea,https://en.wikipedia.org/wiki/Guinea,Africa,Lower middle,39297,Neutral,Neutral,Neutral,0.423619479,0.461581418,0.114799108,32,62,2,33.33333333,64.58333333,2.083333333,Neutral,Neutral,Neutral,0.254450207,0.662088502,0.08346129,19,75,2,19.79166667,78.125,2.083333333,Neutral,Neutral,Neutral,0.249051267,0.674545175,0.076403546,18,75,3,18.75,78.125,3.125
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,Africa,Low,34752,Neutral,Neutral,Neutral,0.33669882,0.518034923,0.145266261,21,65,5,23.07692308,71.42857143,5.494505495,Neutral,Neutral,Neutral,0.196187272,0.709790918,0.094021809,16,70,5,17.58241758,76.92307692,5.494505495,Neutral,Neutral,Neutral,0.178532805,0.728458439,0.09300876,13,73,5,14.28571429,80.21978022,5.494505495
Guyana,https://en.wikipedia.org/wiki/Guyana,South America,High,40856,Neutral,Neutral,Neutral,0.236784274,0.561892222,0.201323501,16,96,12,12.90322581,77.41935484,9.677419355,Neutral,Neutral,Neutral,0.075948855,0.72501402,0.199037133,4,101,19,3.225806452,81.4516129,15.32258065,Neutral,Neutral,Neutral,0.051225753,0.739654593,0.209119657,4,100,20,3.225806452,80.64516129,16.12903226
Haiti,https://en.wikipedia.org/wiki/Haiti,North America,Lower middle,91476,Neutral,Negative,Negative,0.437012872,0.418098903,0.14488823,76,123,10,36.36363636,58.85167464,4.784688995,Neutral,Neutral,Neutral,0.244997211,0.654566159,0.100436631,39,162,8,18.66028708,77.51196172,3.827751196,Neutral,Neutral,Neutral,0.250014787,0.619851601,0.130133608,41,148,20,19.61722488,70.81339713,9.56937799
Honduras,https://en.wikipedia.org/wiki/Honduras,North America,Lower middle,63434,Neutral,Neutral,Neutral,0.374771552,0.447053715,0.17817473,49,81,14,34.02777778,56.25,9.722222222,Neutral,Neutral,Neutral,0.218503623,0.63851372,0.142982657,28,100,16,19.44444444,69.44444444,11.11111111,Neutral,Neutral,Neutral,0.166275243,0.667206089,0.166518662,19,108,17,13.19444444,75,11.80555556
Hungary,https://en.wikipedia.org/wiki/Hungary,Europe,High,83530,Neutral,Neutral,Neutral,0.30332952,0.428072813,0.268597661,30,69,21,25,57.5,17.5,Neutral,Neutral,Neutral,0.133532719,0.642467857,0.223999429,13,91,16,10.83333333,75.83333333,13.33333333,Neutral,Neutral,Neutral,0.091769541,0.623418851,0.284811608,8,83,29,6.666666667,69.16666667,24.16666667
Iceland,https://en.wikipedia.org/wiki/Iceland,Europe,High,81169,Neutral,Neutral,Neutral,0.282144369,0.496237959,0.221617679,24,107,25,15.38461538,68.58974359,16.02564103,Neutral,Neutral,Neutral,0.074135077,0.654285145,0.271579776,8,117,31,5.128205128,75,19.87179487,Neutral,Neutral,Neutral,0.074213626,0.645455481,0.280330898,9,110,37,5.769230769,70.51282051,23.71794872
India,https://en.wikipedia.org/wiki/India,Asia,Lower middle,59440,Neutral,Neutral,Neutral,0.321491193,0.473705483,0.204803325,25,53,10,28.40909091,60.22727273,11.36363636,Neutral,Neutral,Neutral,0.088159416,0.718728564,0.193112018,7,69,12,7.954545455,78.40909091,13.63636364,Neutral,Neutral,Neutral,0.037142614,0.726766573,0.23609081,3,68,17,3.409090909,77.27272727,19.31818182
Indonesia,https://en.wikipedia.org/wiki/Indonesia,Asia,Upper middle,55062,Neutral,Neutral,Neutral,0.264741346,0.466277204,0.268981451,20,67,15,19.60784314,65.68627451,14.70588235,Neutral,Neutral,Neutral,0.095115228,0.628104356,0.276780416,8,74,20,7.843137255,72.54901961,19.60784314,Neutral,Neutral,Neutral,0.085441802,0.62799092,0.286567273,8,71,23,7.843137255,69.60784314,22.54901961
Iran,https://en.wikipedia.org/wiki/Iran,Asia,Upper middle,85086,Neutral,Neutral,Neutral,0.306825191,0.449420275,0.243754534,41,98,29,24.4047619,58.33333333,17.26190476,Neutral,Neutral,Neutral,0.149837249,0.640217766,0.209944987,17,126,25,10.11904762,75,14.88095238,Neutral,Neutral,Neutral,0.127376887,0.616188954,0.256434157,19,111,38,11.30952381,66.07142857,22.61904762
Iraq,https://en.wikipedia.org/wiki/Iraq,Asia,Upper middle,78691,Neutral,Neutral,Neutral,0.365997892,0.450073729,0.183928377,39,76,14,30.23255814,58.91472868,10.85271318,Neutral,Neutral,Neutral,0.193576771,0.656154319,0.150268913,15,100,14,11.62790698,77.51937984,10.85271318,Neutral,Neutral,Neutral,0.140706455,0.711738168,0.147555377,10,108,11,7.751937984,83.72093023,8.527131783
Islamic Republic of Afghanistan,https://en.wikipedia.org/wiki/Islamic_Republic_of_Afghanistan,Asia,Low,25029,Neutral,Neutral,Neutral,0.404090138,0.462794155,0.133115722,18,37,2,31.57894737,64.9122807,3.50877193,Neutral,Neutral,Neutral,0.206833594,0.715489637,0.077676759,9,45,3,15.78947368,78.94736842,5.263157895,Neutral,Neutral,Neutral,0.218593919,0.691185979,0.0902201,11,43,3,19.29824561,75.43859649,5.263157895
Israel,https://en.wikipedia.org/wiki/Israel,Asia,High,94080,Neutral,Neutral,Neutral,0.390397708,0.433024765,0.176577524,49,80,15,34.02777778,55.55555556,10.41666667,Neutral,Neutral,Neutral,0.208680506,0.619434401,0.171885088,25,99,20,17.36111111,68.75,13.88888889,Neutral,Neutral,Neutral,0.134232373,0.705109323,0.1606583,17,107,20,11.80555556,74.30555556,13.88888889
Italy,https://en.wikipedia.org/wiki/Italy,Europe,High,91885,Neutral,Neutral,Neutral,0.222712725,0.458979064,0.318308214,32,93,51,18.18181818,52.84090909,28.97727273,Neutral,Neutral,Neutral,0.088268562,0.62269965,0.289031784,18,117,41,10.22727273,66.47727273,23.29545455,Neutral,Neutral,Neutral,0.067215558,0.581097703,0.351686737,11,111,54,6.25,63.06818182,30.68181818
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast,Africa,Lower middle,53048,Neutral,Neutral,Neutral,0.366264706,0.443810035,0.189925256,27,58,8,29.03225806,62.3655914,8.602150538,Neutral,Neutral,Neutral,0.178426708,0.660750214,0.16082308,10,75,8,10.75268817,80.64516129,8.602150538,Neutral,Neutral,Neutral,0.179064032,0.628406177,0.192529784,11,69,13,11.82795699,74.19354839,13.97849462
Jamaica,https://en.wikipedia.org/wiki/Jamaica,North America,Upper middle,75837,Neutral,Neutral,Neutral,0.302650421,0.503647206,0.193702371,31,97,16,21.52777778,67.36111111,11.11111111,Neutral,Neutral,Neutral,0.123320343,0.654760211,0.221919447,16,109,19,11.11111111,75.69444444,13.19444444,Neutral,Neutral,Neutral,0.13385426,0.622367311,0.243778432,18,97,29,12.5,67.36111111,20.13888889
Japan,https://en.wikipedia.org/wiki/Japan,Asia,High,51085,Neutral,Neutral,Neutral,0.297325712,0.453573186,0.249101099,27,49,17,29.03225806,52.68817204,18.27956989,Neutral,Neutral,Neutral,0.07762803,0.702922028,0.219449938,5,73,15,5.376344086,78.49462366,16.12903226,Neutral,Neutral,Neutral,0.054473886,0.71479319,0.230732926,3,75,15,3.225806452,80.64516129,16.12903226
Jordan,https://en.wikipedia.org/wiki/Jordan,Asia,Lower middle,70865,Neutral,Neutral,Neutral,0.290621382,0.45456531,0.254813307,22,78,24,17.74193548,62.90322581,19.35483871,Neutral,Neutral,Neutral,0.108070445,0.676108664,0.215820889,9,95,20,7.258064516,76.61290323,16.12903226,Neutral,Neutral,Neutral,0.071442177,0.674136317,0.254421509,5,91,28,4.032258065,73.38709677,22.58064516
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan,Asia,Upper middle,97848,Neutral,Neutral,Neutral,0.267059134,0.509276459,0.22366441,35,167,21,15.69506726,74.88789238,9.417040359,Neutral,Neutral,Neutral,0.083024523,0.700041686,0.216933787,9,188,26,4.035874439,84.30493274,11.65919283,Neutral,Neutral,Neutral,0.078873086,0.687765602,0.233361313,14,172,37,6.278026906,77.13004484,16.59192825
Kenya,https://en.wikipedia.org/wiki/Kenya,Africa,Lower middle,80088,Neutral,Neutral,Neutral,0.30604814,0.487267787,0.206684065,46,121,26,23.83419689,62.69430052,13.47150259,Neutral,Neutral,Neutral,0.111593439,0.666388924,0.222017641,17,146,30,8.808290155,75.64766839,15.54404145,Neutral,Neutral,Neutral,0.118378797,0.644471853,0.237149355,19,132,42,9.844559585,68.39378238,21.76165803
Kiribati,https://en.wikipedia.org/wiki/Kiribati,Oceania,Lower middle,58283,Neutral,Neutral,Neutral,0.327577956,0.549908549,0.122513494,37,106,2,25.51724138,73.10344828,1.379310345,Neutral,Neutral,Neutral,0.13946743,0.762331081,0.098201491,13,127,5,8.965517241,87.5862069,3.448275862,Neutral,Neutral,Neutral,0.127720475,0.765824552,0.106454972,13,125,7,8.965517241,86.20689655,4.827586207
Kosovo,https://en.wikipedia.org/wiki/Kosovo,Europe,Upper middle,86118,Neutral,Neutral,Neutral,0.306724287,0.476854885,0.216420835,37,98,18,24.18300654,64.05228758,11.76470588,Neutral,Neutral,Neutral,0.13686289,0.696541639,0.166595478,19,117,17,12.41830065,76.47058824,11.11111111,Neutral,Neutral,Neutral,0.122727605,0.707400958,0.169871434,16,119,18,10.45751634,77.77777778,11.76470588
Kuwait,https://en.wikipedia.org/wiki/Kuwait,Asia,High,76886,Neutral,Neutral,Neutral,0.296101945,0.477186051,0.226712008,39,100,24,23.92638037,61.34969325,14.72392638,Neutral,Neutral,Neutral,0.164162853,0.608659236,0.227177907,28,101,34,17.17791411,61.96319018,20.85889571,Neutral,Neutral,Neutral,0.147532186,0.620026713,0.232441102,24,101,38,14.72392638,61.96319018,23.31288344
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan,Asia,Lower middle,58200,Neutral,Neutral,Neutral,0.327345157,0.508434803,0.16422005,35,102,15,23.02631579,67.10526316,9.868421053,Neutral,Neutral,Neutral,0.15130741,0.703560045,0.145132543,16,119,17,10.52631579,78.28947368,11.18421053,Neutral,Neutral,Neutral,0.163620942,0.676031558,0.1603475,17,113,22,11.18421053,74.34210526,14.47368421
Laos,https://en.wikipedia.org/wiki/Laos,Asia,Lower middle,32853,Neutral,Neutral,Neutral,0.318674641,0.501321832,0.180003525,16,54,5,21.33333333,72,6.666666667,Neutral,Neutral,Neutral,0.152936679,0.713303224,0.133760091,12,60,3,16,80,4,Neutral,Neutral,Neutral,0.118983738,0.715337891,0.165678368,10,57,8,13.33333333,76,10.66666667
Latvia,https://en.wikipedia.org/wiki/Latvia,Europe,High,68181,Neutral,Neutral,Neutral,0.279935282,0.524535379,0.19552934,28,126,12,16.86746988,75.90361446,7.228915663,Neutral,Neutral,Neutral,0.106731447,0.728679698,0.164588858,11,139,16,6.626506024,83.73493976,9.638554217,Neutral,Neutral,Neutral,0.094320869,0.738638258,0.167040864,13,138,15,7.831325301,83.13253012,9.036144578
Lebanon,https://en.wikipedia.org/wiki/Lebanon,Asia,Lower middle,84953,Neutral,Neutral,Neutral,0.385692979,0.44329119,0.171015834,39,108,16,23.92638037,66.25766871,9.81595092,Neutral,Neutral,Neutral,0.239430399,0.62122464,0.139344966,24,121,18,14.72392638,74.23312883,11.04294479,Neutral,Neutral,Neutral,0.230826682,0.633210111,0.135963201,25,118,20,15.33742331,72.39263804,12.26993865
Lesotho,https://en.wikipedia.org/wiki/Lesotho,Africa,Lower middle,37701,Neutral,Neutral,Neutral,0.416748301,0.442345348,0.140906349,29,49,4,35.36585366,59.75609756,4.87804878,Neutral,Neutral,Neutral,0.198738827,0.69797824,0.10328293,18,61,3,21.95121951,74.3902439,3.658536585,Neutral,Neutral,Neutral,0.141858006,0.721624174,0.136517811,12,60,10,14.63414634,73.17073171,12.19512195
Liberia,https://en.wikipedia.org/wiki/Liberia,Africa,Low,65018,Neutral,Negative,Negative,0.441113213,0.4051084,0.153778392,61,65,13,43.88489209,46.76258993,9.352517986,Neutral,Neutral,Neutral,0.262032238,0.623149898,0.114817867,40,91,8,28.77697842,65.4676259,5.755395683,Neutral,Neutral,Neutral,0.263117344,0.588625311,0.148257341,35,85,19,25.17985612,61.15107914,13.66906475
Libya,https://en.wikipedia.org/wiki/Libya,Africa,Upper middle,78523,Neutral,Neutral,Neutral,0.378058008,0.457929982,0.164012014,44,88,13,30.34482759,60.68965517,8.965517241,Neutral,Neutral,Neutral,0.190144034,0.708666576,0.101189388,21,116,8,14.48275862,80,5.517241379,Neutral,Neutral,Neutral,0.195797307,0.684549721,0.119652965,20,116,9,13.79310345,80,6.206896552
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,Europe,High,47346,Neutral,Neutral,Neutral,0.254017621,0.560067118,0.185915265,19,100,12,14.50381679,76.33587786,9.160305344,Neutral,Neutral,Neutral,0.073263046,0.748450513,0.178286434,2,115,14,1.526717557,87.78625954,10.6870229,Neutral,Neutral,Neutral,0.044075968,0.774008062,0.181915972,1,112,18,0.763358779,85.49618321,13.74045802
Lithuania,https://en.wikipedia.org/wiki/Lithuania,Europe,High,92332,Neutral,Neutral,Neutral,0.249880869,0.488701151,0.261417977,29,112,33,16.66666667,64.36781609,18.96551724,Neutral,Neutral,Neutral,0.071294882,0.678024772,0.250680351,4,134,36,2.298850575,77.01149425,20.68965517,Neutral,Neutral,Neutral,0.059091745,0.686947449,0.25396081,6,129,39,3.448275862,74.13793103,22.4137931
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Europe,High,52563,Neutral,Neutral,Neutral,0.214833918,0.547748673,0.237417411,12,97,12,9.917355372,80.16528926,9.917355372,Neutral,Neutral,Neutral,0.071196818,0.728691306,0.200111877,3,102,16,2.479338843,84.29752066,13.2231405,Neutral,Neutral,Neutral,0.061113394,0.675463762,0.263422837,4,88,29,3.305785124,72.72727273,23.96694215
Madagascar,https://en.wikipedia.org/wiki/Madagascar,Africa,Low,80645,Neutral,Neutral,Neutral,0.361064522,0.458059235,0.180876242,39,78,8,31.2,62.4,6.4,Neutral,Neutral,Neutral,0.143539673,0.705158884,0.15130145,15,101,9,12,80.8,7.2,Neutral,Neutral,Neutral,0.12772662,0.719145,0.153128383,16,100,9,12.8,80,7.2
Malawi,https://en.wikipedia.org/wiki/Malawi,Africa,Low,44022,Neutral,Neutral,Neutral,0.376630476,0.459779384,0.163590139,25,45,6,32.89473684,59.21052632,7.894736842,Neutral,Neutral,Neutral,0.152248735,0.70857415,0.139177116,10,61,5,13.15789474,80.26315789,6.578947368,Neutral,Neutral,Neutral,0.130492796,0.70946598,0.160041226,10,58,8,13.15789474,76.31578947,10.52631579
Malaysia,https://en.wikipedia.org/wiki/Malaysia,Asia,Upper middle,59803,Neutral,Neutral,Neutral,0.308964741,0.524427946,0.166607324,20,67,4,21.97802198,73.62637363,4.395604396,Neutral,Neutral,Neutral,0.113239658,0.729316646,0.1574437,8,74,9,8.791208791,81.31868132,9.89010989,Neutral,Neutral,Neutral,0.077509672,0.78850722,0.133983117,5,78,8,5.494505495,85.71428571,8.791208791
